sort_name;random_time;random_steps;sorted_time;sorted_steps;reversed_time;reversed_steps;same_el_time;same_el_steps
BubbleSortIverson1&2;0.002;0;0.001;0;0;0;0;0
SelectionSort;0.97;499500;0.956;499500;0.958;499500;0.957;499500
LinearInsertionSort;0;0;0;0;0;0;0;0
BinaryInsertionSort;0.192;499500;0.193;499500;0.194;499500;0.193;499500
CountingSort;0.001;0;0;0;0.001;0;0;0
RadixSort;0.132;62000;0.077;62000;0.077;62000;0.082;62000
MergeSort;0.135;512;0.132;512;0.132;512;0.132;512
HoarSort;0.045;10097;0.009;9976;0.007;8977;0.009;999
LomutoSort;0;0;0.001;0;0;0;0.001;0
HeapSort;0.026;0;0.002;0;0.043;0;0.002;0
BubbleSort;0.38;499500;0.254;499500;0.255;499500;0.254;499500
BubbleSortIverson1;0.387;499472;0.002;999;0.262;499500;0.001;999
BubbleSortIverson1&2;0.001;0;0;0;0;0;0.001;0
SelectionSort;0.966;499500;1.117;499500;0.96;499500;0.957;499500
LinearInsertionSort;0.001;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.193;499500;0.191;499500;0.191;499500;0.191;499500
CountingSort;0.001;0;0;0;0;0;0;0
RadixSort;0.133;62000;0.079;62000;0.077;62000;0.08;62000
MergeSort;0.134;512;0.13;512;0.131;512;0.13;512
HoarSort;0.047;10097;0.008;9976;0.008;8977;0.008;999
LomutoSort;0.001;0;0;0;0.001;0;0;0
HeapSort;0.019;0;0.002;0;0.034;0;0.001;0
BubbleSort;0.377;499500;0.255;499500;0.253;499500;0.254;499500
BubbleSortIverson1;0.387;499364;0.001;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0;0;0;0
SelectionSort;0.967;499500;0.957;499500;0.957;499500;0.97;499500
LinearInsertionSort;0.002;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.196;499500;0.194;499500;0.194;499500;0.193;499500
CountingSort;0.001;0;0;0;0;0;0;0
RadixSort;0.131;62000;0.078;62000;0.077;62000;0.08;62000
MergeSort;0.136;512;0.133;512;0.131;512;0.132;512
HoarSort;0.045;8642;0.008;9976;0.007;8977;0.008;999
LomutoSort;0;0;0.002;0;0;0;0.001;0
HeapSort;0.025;0;0.001;0;0.032;0;0.001;0
BubbleSort;0.378;499500;0.255;499500;0.254;499500;0.255;499500
BubbleSortIverson1;0.384;498720;0.001;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0;0;0.001;0;0;0;0;0
SelectionSort;1.038;499500;0.975;499500;1.001;499500;0.966;499500
LinearInsertionSort;0.001;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.192;499500;0.193;499500;0.191;499500;0.191;499500
CountingSort;0.001;0;0;0;0;0;0;0
RadixSort;0.132;62000;0.077;62000;0.078;62000;0.081;62000
MergeSort;0.136;512;0.132;512;0.132;512;0.132;512
HoarSort;0.05;9656;0.008;9976;0.007;8977;0.008;999
LomutoSort;0;0;0;0;0;0;0;0
HeapSort;0.021;0;0.003;0;0.039;0;0.001;0
BubbleSort;0.379;499500;0.256;499500;0.255;499500;0.259;499500
BubbleSortIverson1;0.388;498465;0.001;999;0.263;499500;0;999
BubbleSortIverson1&2;0;0;0.001;0;0;0;0.001;0
SelectionSort;0.971;499500;0.958;499500;0.958;499500;0.958;499500
LinearInsertionSort;0;0;0.001;0;0;0;0.001;0
BinaryInsertionSort;0.194;499500;0.192;499500;0.192;499500;0.192;499500
CountingSort;0.002;0;0;0;0;0;0;0
RadixSort;0.133;62000;0.077;62000;0.077;62000;0.081;62000
MergeSort;0.134;512;0.131;512;0.131;512;0.131;512
HoarSort;0.045;8750;0.009;9976;0.007;8977;0.008;999
LomutoSort;0;0;0.001;0;0;0;0.001;0
HeapSort;0.025;0;0.002;0;0.034;0;0.001;0
BubbleSort;0.376;499500;0.254;499500;0.258;499500;0.254;499500
BubbleSortIverson1;0.381;497960;0.001;999;0.263;499500;0;999
BubbleSortIverson1&2;0;0;0;0;0;0;0.001;0
SelectionSort;0.967;499500;0.96;499500;0.981;499500;0.96;499500
LinearInsertionSort;0;0;0;0;0;0;0.001;0
BinaryInsertionSort;0.192;499500;0.192;499500;0.193;499500;0.192;499500
CountingSort;0;0;0;0;0.001;0;0;0
RadixSort;0.132;62000;0.077;62000;0.076;62000;0.08;62000
MergeSort;0.136;512;0.132;512;0.132;512;0.131;512
HoarSort;0.046;7944;0.009;9976;0.008;8977;0.008;999
LomutoSort;0.001;0;0;0;0;0;0;0
HeapSort;0.023;0;0.002;0;0.044;0;0.001;0
