sort_name;random_time_small;random_steps_small;random_time_big;random_steps_big;sorted_time;sorted_steps;reversed_time;reversed_steps;arr_len
SelectionSort;5489;1.12425e+06;5206;1.12425e+06;5049;1.12425e+06;5135;1.12425e+06;1500
LinearInsertionSort;7561;481052;8984;574549;21;222;17578;1.12425e+06;1500
BinaryInsertionSort;6105;494912;6272;588309;140;14675;12631;1.13721e+06;1500
CountingSort;426;0;722;0;681;0;661;0;1500
RadixSort;975;93000;1092;93000;1019;93000;863;93000;1500
MergeSort;830;14998;906;14998;956;14998;1083;14998;1500
HoarSort;186;3987;237;13352;145;15573;138;14453;1500
LomutoSort;2914;192946;330;17788;12559;964300;8596;1.12575e+06;1500
HeapSort;780;0;924;0;956;0;854;0;1500
BubbleSort;14301;1.2792e+06;15790;1.2792e+06;5568;1.2792e+06;17309;1.2792e+06;1600
BubbleSortIverson1;14680;1.24501e+06;16995;1.27766e+06;20;3197;17296;1.2792e+06;1600
BubbleSortIverson1&2;15516;1.24501e+06;17400;1.27417e+06;23;3197;18653;1.2792e+06;1600
SelectionSort;5532;1.2792e+06;8202;1.2792e+06;5285;1.2792e+06;5629;1.2792e+06;1600
LinearInsertionSort;8604;521476;11685;639029;20;212;21816;1.2792e+06;1600
BinaryInsertionSort;5898;536412;7978;653845;202;15765;18842;1.29316e+06;1600
CountingSort;680;0;1195;0;1143;0;923;0;1600
RadixSort;1607;99200;1795;99200;1695;99200;1624;99200;1600
MergeSort;1560;15998;1757;15998;1492;15998;1505;15998;1600
HoarSort;295;5329;357;14690;157;16807;151;15553;1600
LomutoSort;5944;221805;461;20067;30476;1.10797e+06;14176;1.2808e+06;1600
HeapSort;1125;0;1316;0;1369;0;1214;0;1600
BubbleSort;20550;1.44415e+06;18915;1.44415e+06;6861;1.44415e+06;21450;1.44415e+06;1700
BubbleSortIverson1;17089;1.40425e+06;17258;1.44387e+06;20;3397;21873;1.44415e+06;1700
BubbleSortIverson1&2;18976;1.40425e+06;19582;1.43738e+06;26;3391;21151;1.44415e+06;1700
SelectionSort;5684;1.44415e+06;5963;1.44415e+06;5658;1.44415e+06;5809;1.44415e+06;1700
LinearInsertionSort;9630;636047;10530;724563;15;225;21121;1.44415e+06;1700
BinaryInsertionSort;6417;652053;7621;740458;84;16878;14871;1.45911e+06;1700
CountingSort;409;0;750;0;673;0;652;0;1700
RadixSort;1175;105400;1334;105400;1155;105400;910;105400;1700
MergeSort;842;16996;892;16996;942;16996;897;16996;1700
HoarSort;207;4397;405;18822;165;17989;72;16653;1700
LomutoSort;2924;247495;266;22481;15378;1.25094e+06;10513;1.44585e+06;1700
HeapSort;839;0;1120;0;1385;0;1031;0;1700
BubbleSort;18491;1.6191e+06;21941;1.6191e+06;8271;1.6191e+06;23535;1.6191e+06;1800
BubbleSortIverson1;18261;1.56774e+06;19194;1.61843e+06;22;3597;29147;1.6191e+06;1800
BubbleSortIverson1&2;22327;1.56774e+06;22699;1.6125e+06;29;3593;24532;1.6191e+06;1800
